Substrate,Enzyme,Time,alphaNH
30,3,3810,26.140373771945807
30,3,3820,26.14754245296691
30,3,3825,26.150915948533545
30,3,3835,26.16314486702058
30,3,3850,26.16651836258721
30,3,3860,26.173265353720478
30,3,3865,26.183385840420375
30,3,3870,26.19013283155364
30,3,3875,26.198566570470227
30,3,3880,26.208687057170124
30,3,3885,26.21880754387002
30,3,3890,26.225554535003287
30,3,3895,26.23398827391987
30,3,3900,26.24242201283645
30,3,3905,26.243687076615945
30,3,3910,26.250434067749215
30,3,3915,26.25169912564469
30,3,3920,26.258024432774135
30,3,3925,26.266458171690722
30,3,3930,26.271096725152827
30,3,3935,26.27404853671564
30,3,3940,26.277000342394434
30,3,3945,26.288807576877648
30,3,3950,26.298928063577545
30,3,3955,26.301879875140365
30,3,3960,26.304831680819156
30,3,3965,26.309470240165282
30,3,3970,26.3212774746485
30,3,3975,26.3313979613484
30,3,3980,26.33983170026498
30,3,3985,26.351638934748195
30,3,4005,26.35796423599362
30,3,4010,26.365976290906385
30,3,4015,26.376096777606282
30,3,4020,26.38621726430618
30,3,4025,26.390855817768294
30,3,4030,26.39718112489774
30,3,4035,26.407301611597635
30,3,4040,26.417422098297536
30,3,4045,26.42922933278075
30,3,4050,26.43555463402618
30,3,4055,26.44398837294276
30,3,4060,26.450735364076024
30,3,4065,26.45537392342215
30,3,4070,26.463807662338738
30,3,4075,26.475614896821956
30,3,4085,26.478566702500746
30,3,4090,26.48151851406356
30,3,4095,26.482361887955214
30,3,4100,26.48700044141733
30,3,4110,26.493325748546777
30,3,4115,26.49796430200888
30,3,4120,26.505976356921646
30,3,4125,26.51736190151702
30,3,4130,26.5270607042131
30,3,4155,26.529590825888075
30,3,4160,26.532120947563048
30,3,4165,26.534651069238024
30,3,4170,26.536759501025163
30,3,4175,26.537181190913003
30,3,4180,26.54645830372124
30,3,4185,26.55573541652948
30,3,4190,26.561639033771083
30,3,4195,26.565855903229377
30,3,4200,26.571759520470987
30,3,4205,26.572181204474806
30,3,4210,26.578084821716416
30,3,4215,26.57850651160425
30,3,4220,26.586096876629174
30,3,4240,26.588205308416313
30,3,4250,26.595373989437412
30,3,4255,26.59916916900787
30,3,4260,26.602964354462337
30,3,4265,26.610133029599425
30,3,4270,26.62109689019098
30,3,4275,26.6299523189954
30,3,4280,26.642602927370273
30,3,4300,26.645976422936908
30,3,4305,26.64934991850354
30,3,4310,26.65103666628686
30,3,4320,26.652301724182337
30,3,4330,26.662422210882234
30,3,4340,26.6691692020155
30,3,4345,26.679289688715397
30,3,4350,26.689410175415293
30,3,4355,26.703325847569666
30,3,4360,26.71175958648624
30,3,4365,26.72398850497328
30,3,4370,26.73453068156102
30,3,4380,26.743386104481417
30,3,4385,26.74675960004805
30,3,4390,26.750133095614686
30,3,4395,26.758566834531265
30,3,4400,26.770795758902317
30,3,4405,26.772482506685634
30,3,4415,26.777542750035586
30,3,4425,26.785976483068154
30,3,4435,26.79272348008543
30,3,4440,26.801157213117992
30,3,4445,26.807904210135277
30,3,4450,26.820133128622317
30,3,4455,26.828988557426737
30,3,4460,26.841217475913766
30,3,4470,26.842904223697087
30,3,4490,26.85133796261367
30,3,4495,26.85260302639317
30,3,4505,26.85555483207196
30,3,4510,26.863988570988543
30,3,4515,26.870735562121805
30,3,4520,26.87916930103839
30,3,4530,26.880434364817887
30,3,4535,26.886759666063313
30,3,4545,26.893506657196582
30,3,4565,26.894350031088237
30,3,4570,26.896880152763213
30,3,4575,26.901097022221506
30,3,4580,26.90362714389648
30,3,4590,26.904048833784316
30,3,4595,26.91332594659255
30,3,4600,26.917542816050847
30,3,4605,26.923446433292455
30,3,4610,26.927663302750744
30,3,4615,26.93356691999235
30,3,4620,26.944952464587733
30,3,4625,26.947482586262705
30,3,4630,26.962663316312554
30,3,4635,26.979530794145713
30,3,4640,26.98585610127516
30,3,4645,26.98880790695395
30,3,4650,26.99892839365385
30,3,4655,27.005253700783296
30,3,4660,27.01368743969988
30,3,4665,27.022121178616462
30,3,4670,27.026759732078574
30,3,4675,27.029711543641383
